id,own,competing1,competing2,borrowertype,accepted,default,profit
128018,.121,,.27014437,3,1,0,1210
128019,,.28,.31031191,0,0,1,
128020,,.36149424,,0,0,1,
128021,,0,,2,0,1,
128022,,.37091455,.67160648,0,0,1,
128023,,0,.42230761,0,0,0,
128024,,.3925522,.57462955,0,0,0,
128025,,,.42230761,0,0,0,
128026,,,.15992945,0,0,1,
128027,,.46264303,.44422472,0,0,0,
128028,,.23899999,.52035469,0,0,0,
128029,,,,0,0,1,
128030,,,,0,0,0,
128031,.124,.11075862,.13353404,3,1,0,1240
128032,,,.46001166,0,0,0,
128033,,.37091455,.20016918,0,0,1,
128034,.112,.18475406,.12783936,0,1,0,1120
128035,,.34935522,,0,0,1,
128036,,.27000001,.18775506,0,0,0,
128037,,.58930945,,0,0,0,
128038,,.22590342,.22504392,0,0,0,
128039,.1,.013349321,.062737852,3,0,0,
128040,,.37091455,,0,0,0,
128041,,1,.73272467,2,0,0,
128042,,.1381181,.33183631,0,0,0,
128043,,.106,.27487305,0,0,0,
128044,.113,.1,.059999999,0,0,0,
128045,,.11612458,.26280841,2,0,1,
128046,,.31217963,.54042113,1,0,0,
128047,.123,.18308717,,3,1,0,1230
128048,,.35699999,.32805702,0,0,0,
128049,,.099434681,.37848386,2,0,0,
128050,.101,.0011637961,.02,0,0,0,
128051,,.22351426,,0,0,0,
128052,,.19499999,.32191476,0,0,0,
128053,,.105,.087178178,0,0,0,
128054,.112,.0089999996,.1171797,1,0,0,
128055,,.40000001,.42576817,0,0,1,
128056,,.47,,0,0,0,
128057,,,.40718812,0,0,0,
128058,.118,.097645357,.63939774,3,0,0,
128059,,.13,.20489997,2,0,0,
128060,,.21351427,.1202114,0,0,0,
128061,,.31999999,.49427062,2,0,0,
128062,,.88999999,.30288789,0,0,1,
128063,.104,.086203299,,1,0,0,
128064,,.37331292,.22947699,0,0,0,
128065,,.081839792,.22,1,0,1,
128066,,.13333778,.40024161,0,0,0,
128067,,.44250569,,0,0,1,
128068,.091,.139,.205492,0,1,0,910
128069,,,.53231049,0,0,0,
128070,.124,.28,.090342999,0,0,0,
128071,,.48091045,.57435578,1,0,0,
128072,,.40000001,.42230761,0,0,0,
128073,,,.63308328,0,0,0,
128074,,.3925522,.55902034,2,0,0,
128075,,.45175201,,1,0,0,
128076,,.46352845,,0,0,0,
128077,,1,.29288158,3,0,0,
128078,,.33953083,.17353213,0,0,0,
128079,.105,.050000001,.062737852,0,0,0,
128080,,.23750363,.31934273,0,0,1,
128081,,.19228952,,0,0,0,
128082,.118,.037,.1171797,2,0,0,
128083,,.019311575,.059999999,0,0,0,
128084,,.40000001,.14381899,3,0,0,
128085,,.40000001,.43854976,2,0,0,
128086,.119,.46081725,,0,1,0,1190
128087,,.20781867,.1965934,0,0,0,
128088,.119,.20821843,.17792821,0,1,0,1190
128089,.107,.15000001,.21613687,0,1,0,1070
128090,,.25,.22,3,0,0,
128091,,.39500001,,0,0,0,
128092,,.40200001,,0,0,0,
128093,,.40312791,.44422472,0,0,0,
128094,,.31187814,,0,0,1,
128095,,.18869521,.47672534,0,0,0,
128096,,.2,.16559145,0,0,1,
128097,,.40000001,.24815598,0,0,1,
128098,,.24087793,.20571239,0,0,0,
128099,,.1495079,.21806937,3,0,0,
128100,.051,.035928052,.48433641,0,0,0,
128101,.105,.12333779,.15765509,0,1,0,1050
128102,,.20999999,.22569223,3,0,0,
128103,,,.84470081,0,0,0,
128104,,.23,.22,0,0,0,
128105,,.28999999,.12567985,0,0,0,
128106,,.4583087,.090540543,2,0,0,
128107,,.396,.38213465,0,0,0,
128108,,.38173196,,0,0,0,
128109,,.35299999,,0,0,0,
128110,,.39111355,.20999999,0,0,0,
128111,,.029999999,.23909186,0,0,0,
128112,,.23,,0,0,0,
128113,,.2807388,.12880789,0,0,0,
128114,,.44,,0,0,0,
128115,.115,.43799999,,0,1,0,1150
128116,,.15830162,,0,0,0,
128117,,.3262625,,0,0,0,
128118,.096,.2,.35100457,0,1,0,960
128119,,.40000001,,0,0,1,
128120,,.22322188,,2,0,0,
128121,.108,0,,0,0,0,
128122,,1,,0,0,0,
128123,,1,,0,0,0,
128124,.12,.40000001,.30625576,0,1,0,1200
128125,.094,.000181899,.02,0,0,0,
128126,,.40000001,.29812461,0,0,0,
128127,,.23231092,.19234881,2,0,0,
128128,,.40000001,.31032553,0,0,0,
128129,.109,.32404399,,0,1,0,1090
128130,,.40000001,.23473634,0,0,0,
128131,,.40000001,.48059112,3,0,0,
128132,,.041999999,.059999999,1,0,0,
128133,,.23403424,.082418628,0,0,0,
128134,,.40000001,.41000003,3,0,1,
128135,,.30199999,.62096256,3,0,0,
128136,,.30000001,.14745656,0,0,0,
128137,.126,.2,.33889338,0,1,0,1260
128138,.073,.13333778,.14075162,0,1,0,730
128139,,.85000002,.082822159,0,0,1,
128140,,.085883908,,2,0,0,
128141,,.28351805,.62096256,1,0,1,
128142,.122,.30000001,.16559145,0,1,0,1220
128143,.064,.26697254,.48651496,0,1,0,640
128144,.128,.43684444,,0,1,0,1280
128145,,.456,,0,0,0,
128146,.126,.22403423,.073197663,0,0,0,
128147,.097,.18302053,.050300594,0,0,0,
128148,,,,0,0,0,
128149,.123,.88780552,.33257252,0,1,1,-10000
128150,,.19573182,.13,0,0,0,
128151,,.28214818,.2429491,0,0,0,
128152,.115,.015263653,.062737852,0,0,0,
128153,.124,.12677786,,0,1,0,1240
128154,,.19302052,,0,0,1,
128155,,.28214818,.80853111,0,0,0,
128156,.091,.18302053,,0,1,0,910
128157,,.063637577,.50348836,1,0,0,
128158,,.30000001,.20999999,0,0,0,
128159,,.235,,0,0,0,
128160,.108,.35939306,.29425114,0,1,0,1080
128161,.104,.12,,3,1,0,1040
128162,,.51051819,.24465649,2,0,0,
128163,.102,.1,.1257938,0,0,0,
128164,,,.28312969,3,0,0,
128165,,.13752237,.15515088,0,0,0,
128166,,.013,.059999999,0,0,0,
128167,,.15908191,,0,0,0,
128168,.121,.13267837,.33890048,0,1,0,1210
128169,,.30000001,.20999999,0,0,0,
128170,,.37,.18328837,2,0,0,
128171,,.054000001,,0,0,0,
128172,.062,.2398828,.28451729,1,1,0,620
128173,,.47271729,.21964182,0,0,0,
128174,,.12864266,,2,0,0,
128175,.113,.14378887,.17087416,0,1,0,1130
128176,,.41800001,.33257252,0,0,1,
128177,,.33612448,.24465649,3,0,0,
128178,,.1490819,.25270265,1,0,0,
128179,,.15000001,.21189798,0,0,0,
128180,.128,.31,.19303966,1,1,0,1280
128181,,.34,.28653497,1,0,1,
128182,,.175,.22877882,0,0,0,
128183,,.38536835,,0,0,1,
128184,,.15000001,.1042897,0,0,0,
128185,.09,9.3113601e-07,.039999999,1,0,0,
128186,,0,.31981206,0,0,0,
128187,,.62199998,.31146389,0,0,0,
128188,,.16,.17851505,3,0,0,
128189,,.00088959199,,0,0,0,
128190,.067,.40000001,.33257252,0,1,0,670
128191,.105,.2075247,.31928697,0,1,1,-10000
128192,.08,.40000001,.14,0,1,0,800
128193,,.38424942,.10451246,2,0,0,
128194,,.37771779,.21976773,0,0,0,
128195,.125,0,.026722059,0,0,0,
128196,.068,.384,,2,1,0,680
128197,,.34334713,,3,0,1,
128198,,.456,.63308328,3,0,0,
128199,,.010831616,,0,0,0,
128200,,.40000001,.095270127,0,0,0,
128201,,.040583707,.095270127,1,0,0,
128202,.093,.48300001,.51049823,0,1,0,930
128203,,.40000001,,0,0,1,
128204,,.11245088,,2,0,0,
128205,,.30000001,.18827826,2,0,0,
128206,,.44800001,,0,0,0,
128207,,.27000001,.20999999,0,0,0,
128208,,0,.41675109,0,0,0,
128209,,,.096353397,0,0,1,
128210,.094,.091908514,,0,0,0,
128211,,.26431954,,0,0,0,
128212,,,.15786146,2,0,0,
128213,,.22403423,.29965022,2,0,0,
128214,,.055142161,.32040611,0,0,0,
128215,,.35698286,.18255362,0,0,1,
128216,,.40255219,.63308328,1,0,0,
128217,,,,0,0,0,
128218,,,,0,0,1,
128219,.055,.1238244,,0,1,0,550
128220,.121,.38091454,,0,1,0,1210
128221,.115,.40000001,.24465649,0,1,0,1150
128222,,.24578978,.15007631,0,0,1,
128223,,.072153121,.02,0,0,0,
128224,,.47320253,.30453932,0,0,0,
128225,,.31042105,.22643614,0,0,0,
128226,,.38368872,.30626875,2,0,0,
128227,.12,.40000001,,0,1,0,1200
128228,,.085767873,.050000001,2,0,0,
128229,.117,.1242382,.050923478,3,0,0,
128230,.117,.23,,0,1,0,1170
128231,.097,.07,.07,0,0,0,
128232,,.23899999,.24014232,3,0,0,
128233,,.27214816,.44422472,0,0,0,
128234,,.13035546,.11635812,0,0,0,
128235,,.34999999,,1,0,1,
128236,,.36909175,,0,0,0,
128237,.079,.131,.41437215,0,1,0,790
128238,,,,0,0,0,
128239,,.10150941,.16274512,3,0,0,
128240,,.1490819,.40300953,2,0,0,
128241,,.37018701,.48674566,0,0,1,
128242,,.31099999,.27817035,0,0,0,
128243,.048,.078000002,.060066652,3,1,0,480
128244,,,.26865885,0,0,0,
128245,,0,.14730524,2,0,0,
128246,.103,.19302052,,0,1,1,-10000
128247,.117,.18302053,.050000001,1,0,0,
128248,.119,.18234484,.11,0,0,0,
128249,.102,.07,.05540809,0,0,0,
128250,,.18302053,,0,0,0,
128251,,.616,,0,0,1,
128252,.118,.1490819,.089534335,0,0,0,
128253,,.133,,2,0,0,
128254,,,.2965329,2,0,0,
128255,.115,.15908191,.22188219,2,1,0,1150
128256,.121,.048005659,.20999999,0,0,0,
128257,,.28,.15325898,0,0,0,
128258,,.30000001,.19920456,0,0,0,
128259,,.33104417,.53799462,3,0,1,
128260,.118,.45987967,.15637884,0,1,0,1180
128261,,.85851121,,0,0,0,
128262,.06,.1490819,.010922806,0,0,0,
128263,,,.36779791,0,0,1,
128264,.092,.1763351,.48649916,0,1,0,920
128265,,.79352772,.28679499,1,0,1,
128266,,.27214816,,0,0,0,
128267,.112,.40000001,.22,2,1,1,-10000
128268,.065,.017129002,.02,0,0,0,
128269,,.34999999,,0,0,0,
128270,,.097999997,.13963269,3,0,0,
128271,,.3789793,.18255362,1,0,0,
128272,.103,.075000003,.062737852,0,0,0,
128273,,,,0,0,1,
128274,.109,.0027014769,.046118993,0,0,0,
128275,,.15908191,.23787165,0,0,0,
128276,,.63499999,.086459763,0,0,0,
128277,.101,.2,.060102895,0,0,0,
128278,.114,.02948753,.23787165,1,0,0,
128279,.102,.412,.26754153,0,1,0,1020
128280,,,.71908236,2,0,0,
128281,,.31,,1,0,0,
128282,,.054527521,.087730229,0,0,0,
128283,.115,.18302053,.42230761,0,1,0,1150
128284,,.23999999,,0,0,0,
128285,.101,.064888082,,0,0,0,
128286,,.047962338,.30288684,3,0,0,
128287,,.081971645,.2,0,0,0,
128288,,.018999999,.083325267,3,0,0,
128289,.082,.059999999,.038396116,3,0,0,
128290,,.31114125,.61864829,0,0,0,
128291,,.71499997,.29968834,0,0,0,
128292,,.46599999,.26760456,2,0,1,
128293,,.28882641,,0,0,1,
128294,,.066050813,.11,0,0,0,
128295,.119,.87576306,.31756249,0,1,0,1190
128296,,.12,.16559145,0,0,0,
128297,,0,.20964925,0,0,0,
128298,,.15908191,,0,0,0,
128299,,.30822262,,1,0,0,
128300,.126,.23999999,.29782519,1,1,0,1260
128301,.106,.083306856,.095270127,0,0,1,
128302,.118,.10149762,.095270127,0,0,0,
128303,,.5,.63308328,0,0,1,
128304,.118,.26019967,.18936203,0,1,0,1180
128305,.122,.07,.078480415,0,0,0,
128306,,.296368,.059999999,0,0,0,
128307,,.043341175,.27551368,2,0,0,
128308,,.28,.31372899,0,0,1,
128309,,.2972717,.2050062,0,0,0,
128310,,,.53231049,0,0,0,
128311,,.495,,0,0,0,
128312,.124,.30000001,,0,1,0,1240
128313,,.35408288,.170081,0,0,0,
128314,,,.45129761,0,0,0,
128315,.125,.18302053,.25812337,0,1,0,1250
128316,,.454,.20918362,0,0,1,
128317,,.40000001,.22422205,3,0,0,
128318,,.65777838,.21651416,1,0,1,
128319,,.22099504,.19920456,0,0,0,
128320,.117,.18302053,.07,3,0,0,
128321,,.40000001,.49865705,0,0,0,
128322,,.25021696,.91178715,1,0,0,
128323,,.41484737,.13336866,2,0,1,
128324,,0,.039999999,3,0,0,
128325,.107,.1490819,.045987334,2,0,0,
128326,,.2,.19920456,0,0,0,
128327,.104,.25999999,.55090427,0,1,0,1040
128328,,.036471095,.32191697,0,0,0,
128329,,.28214818,.36921036,0,0,0,
128330,,.12,,0,0,0,
128331,,.40000001,,0,0,1,
128332,,.071292728,.46503919,2,0,0,
128333,,.30000001,.059999999,1,0,0,
128334,,.40000001,,0,0,1,
128335,,,.34829432,3,0,0,
128336,.107,.27214816,.16274512,3,1,0,1070
128337,.121,.21351427,.42230761,0,1,0,1210
128338,.061,.42305362,.39952859,0,1,0,610
128339,,.50999999,.30075568,0,0,1,
128340,,.16593805,,0,0,0,
128341,,.2972078,,0,0,1,
128342,.108,.22351426,.062737852,1,0,0,
128343,.099,.02,.039202858,0,0,0,
128344,,.11146222,.26278284,0,0,0,
128345,,.56999999,,1,0,0,
128346,,.32963955,.2,2,0,0,
128347,.046,.025816632,,0,0,0,
128348,,.34263238,.25848106,0,0,0,
128349,,.22351426,.29580367,0,0,0,
128350,.072,.736,.53231049,0,1,0,720
128351,.05,.077810071,.43471786,0,1,0,500
128352,,.29397854,.21629813,2,0,0,
128353,,.28999999,.19285715,0,0,0,
128354,,.12957411,.16274512,0,0,0,
128355,,.29619837,.24792475,1,0,0,
128356,,.22,.24022256,0,0,0,
128357,,.27898052,,0,0,1,
128358,.053,.19302052,.07,0,1,0,530
128359,.085,.075000003,.0099999998,2,0,0,
128360,,.044364031,.1171797,0,0,0,
128361,,.40000001,.21660066,3,0,1,
128362,,.34,,3,0,0,
128363,.068,.0079658441,.40024161,1,0,0,
128364,,.27892795,.22,1,0,0,
128365,,.30063614,.26457283,2,0,0,
128366,,.92130417,,0,0,0,
128367,,.10736383,.16606276,0,0,0,
128368,,1,,0,0,0,
128369,,.40000001,.41000003,0,0,0,
128370,.102,.347,.13141313,2,1,0,1020
128371,,.39845267,.28814691,0,0,0,
128372,.122,.40000001,,0,1,0,1220
128373,,.28214818,.39176959,0,0,1,
128374,.106,.012,,2,0,0,
128375,,.33891794,,0,0,0,
128376,,,.38238764,0,0,0,
128377,.117,.40000001,.26573852,1,1,0,1170
128378,.125,.14819199,.49999994,0,1,0,1250
128379,.1,.075000003,.02,3,0,0,
128380,,.2,,0,0,0,
128381,,.162,.33890361,3,0,0,
128382,.111,.19302052,,0,1,1,-10000
128383,,.35732129,.42230761,0,0,0,
128384,.107,.053147141,,2,0,1,
128385,,.40000001,.53022349,0,0,0,
128386,,.073476538,.22275956,0,0,0,
128387,,,.42230761,1,0,1,
128388,.116,.40000001,.21791953,1,1,0,1160
128389,,.34168744,.21595523,2,0,0,
128390,.109,.12708569,.14436108,0,1,0,1090
128391,.114,.23,.1260923,0,1,0,1140
128392,,1,.53616989,0,0,0,
128393,.118,.215,.15164635,0,1,0,1180
128394,,1,,0,0,1,
128395,,.10641377,.23346001,0,0,1,
128396,.102,.28214818,,0,1,0,1020
128397,,.22403423,.80856287,3,0,0,
128398,.056,.2,.18255362,3,1,0,560
128399,,.22351426,.34542885,1,0,1,
128400,,1,.48674566,0,0,1,
128401,,.96702629,.22674412,0,0,1,
128402,.107,.40000001,.1865328,0,1,0,1070
128403,,,,2,0,0,
128404,,.085777253,.22845483,0,0,0,
128405,.108,.14220347,.31030685,0,1,0,1080
128406,,.14417903,,0,0,1,
128407,.125,.029745849,.90840656,2,0,0,
128408,.11,.12161978,.33888525,3,1,0,1100
128409,.124,.23999999,.78634959,0,1,0,1240
128410,,.15816882,.28339377,2,0,0,
128411,.084,.0060000001,,0,0,0,
128412,,.13333778,.2227788,0,0,0,
128413,,.33000001,.22,0,0,0,
128414,,.11797927,.28934664,0,0,0,
128415,.128,.40000001,,0,1,0,1280
128416,,.036034435,,0,0,0,
128417,.096,.084146053,.07,2,0,0,
128418,,0,.098445341,0,0,1,
128419,.128,.12,,0,0,0,
128420,,,.11606876,0,0,0,
128421,,.40000001,.19323638,0,0,0,
128422,,.23,,0,0,0,
128423,,.22403423,.63308328,0,0,0,
128424,,.07066378,.20918362,0,0,0,
128425,,.17,.45360929,0,0,0,
128426,.07,.12333779,,0,1,0,700
128427,.095,.36899999,,0,1,0,950
128428,,.23457356,,0,0,1,
128429,.122,.053738914,,0,0,0,
128430,,,.52519935,1,0,0,
128431,,,,2,0,0,
128432,.104,.22351426,.063152321,3,0,0,
128433,.077,.083306856,.04337503,3,0,0,
128434,,.27214816,.14381899,2,0,0,
128435,,.1490819,.53231049,0,0,1,
128436,,.23403424,.63308328,0,0,0,
128437,,.67900002,,0,0,0,
128438,,1,,0,0,1,
128439,,.40000001,.25267938,0,0,0,
128440,.115,.40000001,,0,1,0,1150
128441,,.5189324,,0,0,1,
128442,,.094444998,,1,0,0,
128443,,.43677834,.43066606,0,0,0,
128444,.115,.15908191,.21884242,0,1,0,1150
128445,,.7664063,.45911312,0,0,0,
128446,,.40000001,.24156645,0,0,0,
128447,,.169,,0,0,0,
128448,,.14548975,,0,0,0,
128449,,.30000001,.28224006,0,0,0,
128450,.126,.0049999999,.19560398,3,0,0,
128451,,.20571673,.34881639,0,0,0,
128452,,.307592,.21701343,1,0,0,
128453,,.11508127,,0,0,0,
128454,,,.43461543,0,0,1,
128455,,.1490819,.19703907,0,0,0,
128456,,.19302052,,1,0,0,
128457,,.1490819,.16486418,1,0,0,
128458,,.30000001,.12592705,0,0,1,
128459,,.3925522,,0,0,1,
128460,,.34999999,.25178066,3,0,0,
128461,,,.3828181,0,0,1,
128462,.117,.18302053,.28512889,2,1,0,1170
128463,,.25999999,,2,0,0,
128464,,.31929976,,0,0,1,
128465,,.347,.2,0,0,0,
128466,,.18302053,.67812651,0,0,0,
128467,,1,.70570964,1,0,0,
128468,,.22,.25271407,2,0,0,
128469,,.19302052,.22518006,0,0,0,
128470,,.28214818,.67277557,0,0,0,
128471,,.22457454,.31030884,0,0,0,
128472,.119,.30000001,,0,1,0,1190
128473,.087,.079875775,.29824764,3,1,0,870
128474,,.38,,0,0,1,
128475,,.40255219,.31943008,0,0,1,
128476,,.15908191,,0,0,0,
128477,.102,.2,,0,1,0,1020
128478,,,,0,0,0,
128479,,.11400405,.24902914,0,0,0,
128480,,.2,.18255362,1,0,0,
128481,,.075890742,,0,0,1,
128482,.127,.40000001,,0,1,1,-10000
128483,,0,.26482934,0,0,1,
128484,,.21699999,.20999999,0,0,0,
128485,,.085987173,,0,0,0,
128486,,.44,.63308328,2,0,0,
128487,.07,.40000001,.13820904,3,1,0,700
128488,,.10690804,,0,0,0,
128489,,0,.90122211,0,0,1,
128490,,,.28603229,0,0,0,
128491,,.07,.2257262,0,0,0,
128492,.127,.52700001,.39496064,2,1,1,-10000
128493,,.20900001,.52047056,0,0,1,
128494,.059,.11262827,.045582328,1,0,0,
128495,,.30548024,.082526319,0,0,0,
128496,,.16500001,.23787165,0,0,0,
128497,.051,.00063189416,.22005484,2,0,0,
128498,.052,.085000001,.042030606,1,0,0,
128499,,,.59141904,1,0,1,
128500,,.21351427,.20435862,1,0,0,
128501,.061,.083306856,.12394399,0,1,0,610
128502,,.27802312,.55090743,0,0,0,
128503,,0,,0,0,1,
128504,,.38,.48674566,0,0,1,
128505,.089,.13333778,.02,0,0,0,
128506,,.40000001,.18000001,0,0,0,
128507,,.039297044,,3,0,1,
128508,,.13866538,.16274512,0,0,0,
128509,,.0060000001,.058912303,2,0,0,
128510,,.435,.23835176,3,0,0,
128511,,1,.37557584,0,0,0,
128512,,.22641657,.14301033,0,0,0,
128513,.113,.039926846,.20584156,0,0,0,
128514,,.1490819,.37279794,0,0,0,
128515,,.40000001,,0,0,0,
128516,,.40000001,.42230761,0,0,1,
128517,,.21351427,.18255362,0,0,0,
128518,,.40000001,.31883034,0,0,0,
128519,,.15576337,,0,0,0,
128520,,.40000001,.40247214,0,0,0,
128521,,.17,,0,0,0,
128522,,.093999997,.23801091,1,0,0,
128523,,.53310668,.30545861,0,0,0,
128524,,.38999999,,0,0,0,
128525,.075,.00064799696,.047932368,0,0,0,
128526,.122,.19,,0,1,0,1220
128527,.089,.063433051,.09296608,0,0,0,
128528,.053,.075000003,.07,0,1,0,530
128529,,.31099999,.16492526,0,0,0,
128530,,.11455451,.048963621,2,0,0,
128531,.116,.22351426,,1,1,1,-10000
128532,,.20999999,,3,0,0,
128533,,.55000001,.2074409,2,0,0,
128534,.109,.37203309,.07,0,0,0,
128535,,.31863162,,0,0,0,
128536,.067,.083306856,.02,3,0,0,
128537,,.40255219,,0,0,0,
128538,.126,.47373846,.18719253,0,1,0,1260
128539,,.352,,0,0,0,
128540,.125,.12333779,.11,0,0,0,
128541,.127,.12,.77091694,0,0,0,
128542,,.491,.29240331,1,0,0,
128543,,.44330138,,0,0,0,
128544,,.31301937,.12559749,0,0,0,
128545,.112,.059999999,.048319198,0,0,0,
128546,.09,.039246306,,2,0,0,
128547,.125,.12333779,,2,0,0,
128548,.111,.02,,0,0,0,
128549,,.55500001,.30554417,0,0,1,
128550,.096,.032298625,.079999998,0,0,0,
128551,,.21351427,.50994253,0,0,0,
128552,,1,.15811275,3,0,1,
128553,,.21351427,.2,0,0,0,
128554,.126,.23403424,.1171797,0,0,0,
128555,.098,.02,.040099554,3,0,0,
128556,,.37400001,.31032038,0,0,0,
128557,,,,0,0,1,
128558,,.40000001,.3720271,0,0,0,
128559,.099,.039000001,.1171797,2,0,0,
128560,,.072051711,.90122211,0,0,0,
128561,.113,.30875033,,3,1,0,1130
128562,.079,0,.02,2,0,0,
128563,.118,.063019499,.1171797,0,0,0,
128564,,.22499999,,2,0,0,
128565,.127,.075000003,.059999999,0,0,0,
128566,.094,.042896442,.059999999,0,0,0,
128567,,,.75984782,0,0,1,
128568,,.15908191,.32191807,0,0,0,
128569,,.26935229,.1171797,2,0,1,
128570,,.40255219,.47073767,0,0,1,
128571,,.28,.13158643,0,0,0,
128572,.104,.068961695,,0,0,0,
128573,,.40000001,,3,0,0,
128574,,.045032483,.34214127,0,0,0,
128575,,.40433866,,0,0,0,
128576,,.38,.41183317,0,0,0,
128577,,.31,,0,0,0,
128578,,.12899999,,3,0,0,
128579,,.023833524,.059999999,0,0,0,
128580,,.075000003,.26878595,2,0,0,
128581,,.28,.30166644,0,0,1,
128582,.121,.033,.1171797,0,0,0,
128583,,,.28853926,2,0,0,
128584,,,,3,0,1,
128585,.058,.23999999,.11340291,0,1,0,580
128586,.112,.19302052,.20800948,3,1,0,1120
128587,.084,.055732548,.07,3,0,0,
128588,,.35256526,,1,0,0,
128589,.101,.23050614,.20016922,0,1,0,1010
128590,,.03671968,.10769335,1,0,0,
128591,,,.25157845,2,0,0,
128592,,,,0,0,0,
128593,,,.28110206,0,0,1,
128594,.099,.076278113,.095270127,1,0,0,
128595,,,.26865885,0,0,0,
128596,.056,.083306856,.060520686,0,1,0,560
128597,.067,.001,.12272973,3,0,0,
128598,,.101385,.13320634,0,0,0,
128599,.127,.12333779,.058830261,3,0,0,
128600,,.40000001,,0,0,0,
128601,,.0011462061,.030650547,0,0,0,
128602,.081,.18099999,,0,1,0,810
128603,,0,.31872255,3,0,1,
128604,.074,,,0,1,0,740
128605,.117,.037060466,,1,0,0,
128606,,.2743744,,1,0,0,
128607,,.22351426,,2,0,0,
128608,,.054703973,.18979833,2,0,0,
128609,,.23403424,.052080344,0,0,0,
128610,,,.3172732,0,0,1,
128611,,1,.44927126,0,0,1,
128612,,.089563712,.060848612,0,0,0,
128613,,,.2327124,3,0,1,
128614,,.19,.17819452,0,0,0,
128615,.124,.000498879,.27391958,0,0,0,
128616,.116,.38091454,,0,1,1,-10000
128617,,0,.16440763,0,0,1,
128618,.125,.30000001,,0,1,0,1250
128619,,,,0,0,0,
128620,,.34775582,.76279593,0,0,0,
128621,,.30000001,,2,0,0,
128622,.126,.40000001,.14467001,0,1,0,1260
128623,.127,.46041164,.23369993,0,1,0,1270
128624,.096,.02,,0,0,0,
128625,,.0087962989,.2922278,3,0,0,
128626,,.094114862,,0,0,0,
128627,.061,0,.02,3,0,0,
128628,,.21061711,.16274512,3,0,0,
128629,.119,.2,.095270127,0,0,0,
128630,,.96124101,,0,0,0,
128631,.095,.086218692,,0,0,1,
128632,,.11393096,.10609646,0,0,0,
128633,.063,.093306854,,0,1,0,630
128634,,.25875565,,0,0,0,
128635,.126,.35738635,.1171797,0,0,0,
128636,,.19302052,.17848243,0,0,0,
128637,.102,.083413683,.34211311,2,0,0,
128638,.086,.223,,0,1,0,860
128639,,1,,0,0,1,
128640,,,.1523423,3,0,1,
128641,,.050223615,.49510315,0,0,0,
128642,,.53299999,.18802974,0,0,1,
128643,,.48300001,,0,0,1,
128644,.095,.10257371,.1260923,0,1,0,950
128645,,.28214818,.31029862,3,0,0,
128646,,.099009864,,0,0,0,
128647,,.48300001,.20652016,1,0,0,
128648,,.22,.2,0,0,0,
128649,,.27108538,.16487572,0,0,0,
128650,.051,.18302053,.07,1,1,0,510
128651,.118,.12333779,.062737852,2,0,0,
128652,.103,.06981919,.11,0,0,0,
128653,,.3925522,.53231049,2,0,1,
128654,,.174823,.19753486,2,0,0,
128655,,.6983754,.62096256,2,0,0,
128656,,.29155827,,3,0,0,
128657,.096,.45746657,.28030658,0,1,1,-10000
128658,.121,.2,.083307266,0,0,0,
128659,,.32958072,.41328764,0,0,0,
128660,.055,.00060250319,.2951709,1,0,0,
128661,.119,.077790476,,0,0,1,
128662,,,.40573597,3,0,0,
128663,.089,.02,.062737852,2,0,0,
128664,,.18302053,.22,0,0,1,
128665,.106,.1005841,,1,0,0,
128666,,.30364153,.097608157,0,0,0,
128667,,.17,.95087963,0,0,1,
128668,.126,.031801723,.059999999,0,0,0,
128669,.074,.075000003,,1,0,0,
128670,.119,.40000001,.23489156,0,1,0,1190
128671,,.31,.51255685,0,0,0,
128672,,.072544783,.90122211,1,0,0,
128673,,.18302053,,0,0,0,
128674,.12,.72027653,.58526129,0,1,0,1200
128675,.124,.62579733,.31407294,0,1,0,1240
128676,,.87383699,.74728084,3,0,0,
128677,.104,.26991981,.19923189,0,1,0,1040
128678,,.48606217,.25142577,1,0,0,
128679,.124,.18302053,,0,1,0,1240
128680,,,.41473532,0,0,0,
128681,,.25,,0,0,1,
128682,,,.62378204,0,0,0,
128683,,,.57160431,0,0,1,
128684,,.069780514,,0,0,0,
128685,,.76855743,.90122211,0,0,1,
128686,,.41823596,,3,0,1,
128687,,.28999999,.15501194,0,0,0,
128688,,.33574456,,0,0,0,
128689,.113,.15000001,,0,1,0,1130
128690,.122,.2,.17,0,1,0,1220
128691,,.36853036,.32192963,3,0,0,
128692,,.19302052,.90122211,0,0,0,
128693,,.1490819,,0,0,0,
128694,,.40000001,.29656231,3,0,0,
128695,,.50394416,.0671812,0,0,0,
128696,,.15000001,.25268525,0,0,0,
128697,.069,.24552329,,1,1,0,690
128698,,.83215719,.35104299,0,0,0,
128699,,.22351426,,3,0,1,
128700,,.40000001,.21664254,1,0,0,
128701,,.17186975,.20462303,2,0,0,
128702,,.083537921,.2661626,0,0,0,
128703,,.40000001,.34745792,0,0,0,
128704,,.27214816,,3,0,0,
128705,,.40000001,,1,0,0,
128706,.126,.22351426,.14381899,0,1,0,1260
128707,.113,.02,.14218014,0,0,0,
128708,,.87424582,.20918362,1,0,0,
128709,,.037229676,.29071248,0,0,0,
128710,,.26486486,.31032765,0,0,0,
128711,.049,.06396085,.10819709,0,1,0,490
128712,,.15908191,.18524554,0,0,0,
128713,,0,.62979656,3,0,1,
128714,,.18302053,,3,0,1,
128715,.096,.075000003,,3,0,0,
